Órgão superior;Órgão subordinado;Unidade administrativa;Número do contrato;Número do ICJ;Número do processo;Enquadramento do Processo;Fornecedor;CNPJ/CPF;Objeto da contratação;Fundamento legal;Início da vigência;Fim da vigência;Valor do contrato;Saldo bruto do contrato;Saldo inativo;Situação;Número dos aditivos
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578843;2050.0037123.07.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ALUGUEL DO EQUIPAMENTO ANM KV-96 - CAMPO DE MARLIM SUL;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;10/08/2024;US$ 2.911.414,00;US$ 0,00;US$ 2.603.055,34;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578844;2050.0041413.08.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ALUGUEL REFERENTE ÀS LINHAS FLEXÍVEIS DA TECHNIP PARA O LINHAS FLEXÍVEIS, POÇO P-1-10 (CAMPO RONCADOR).;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;15/01/2025;US$ 1.394.262,36;US$ 0,00;US$ 1.217.026,02;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578845;2050.0046836.08.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ALUGUEL DE UMBILICAL PARA O CAMPO RONCADOR, POÇO P1-M1 DA BACIA DE CAMPOS;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;01/10/2029;US$ 490.360,80;US$ 300.421,06;US$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578846;2050.0047777.08.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ALUGUEL DE UMBILICAL SUBMARINO, PARA O POÇO RO-210 - CAMPO DE RONCADOR;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;13/11/2029;US$ 1.591.281,60;US$ 1.368.104,11;US$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578847;2050.0047778.08.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ALUGUEL DE TUBO FLEXIVEL - P-54 - CAMPO DE RONCADOR;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;05/09/2025;US$ 1.889.447,21;US$ 0,00;US$ 86.548,21;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578848;2050.0048427.08.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ALUGUEL DE TUBO FLEXIVEL - CAMPO DE RONCADOR;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;23/09/2025;US$ 9.024.936,50;US$ 0,00;US$ 6.644.989,73;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578849;2050.0027137.06.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ALUGUEL DE ARVORE DE NATAL MOLHADA CCB-92;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;26/12/2023;US$ 7.284.924,99;US$ 0,00;US$ 7.040.124,70;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578850;2050.0027580.06.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ALUGUEL DE MANIFOLD DA P-52;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;04/01/2028;US$ 22.253.061,64;US$ 16.741.487,44;US$ 0,00;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578851;2050.0099639.15.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ESTRUTURAS FLEXÍVEIS 4 E 6" DI;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;11/12/2025;US$ 1.913.773,60;US$ 0,00;US$ 1.567.302,32;Concluído;
MINISTÉRIO DE MINAS E ENERGIA;PETROBRAS;910816 - Petróleo Brasileiro S.A.;4600578852;2050.0101035.16.2;;DISPENSA;RONCADOR B.V.;EXTERNO;ANM CCB-271 - ANM SEM CAMPO DEFINIDO - PDA 187-91408/16;Dispensa, Dec 2745, 2.1, F - Subsidiárias ou controladas da PETROBRAS, pessoas jurídicas direito públ.interno, emp.públ, fund. etc;01/08/2018;10/05/2026;US$ 1.913.773,60;US$ 0,00;US$ 1.413.726,87;Concluído;
